GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shoppingcart-app,com.strickers.shoppingcartapp.utils,Utils,161,0,4,0,43,0,10,0,8,0
shoppingcart-app,com.strickers.shoppingcartapp.utils,ApiConstant,0,10,0,0,0,3,0,1,0,1
shoppingcart-app,com.strickers.shoppingcartapp.controller,ProductController,0,57,0,4,0,14,0,6,0,4
shoppingcart-app,com.strickers.shoppingcartapp.controller,CustomerController,16,129,1,5,3,29,1,7,0,5
shoppingcart-app,com.strickers.shoppingcartapp.service,ProductServiceImpl,162,28,10,2,34,8,8,4,3,3
shoppingcart-app,com.strickers.shoppingcartapp.service,OrderServiceImpl,0,41,0,4,0,10,0,4,0,2
shoppingcart-app,com.strickers.shoppingcartapp.service,LoginServiceImpl,102,0,4,0,24,0,6,0,4,0
shoppingcart-app,com.strickers.shoppingcartapp.config,SwaggerConfig,14,0,0,0,3,0,2,0,2,0
shoppingcart-app,com.strickers.shoppingcartapp.config,RestConfig,7,0,0,0,2,0,2,0,2,0
shoppingcart-app,com.strickers.shoppingcartapp.dto,CustomerRequestDto,14,3,0,0,3,1,4,1,4,1
shoppingcart-app,com.strickers.shoppingcartapp.dto,BuyResponseDto,12,19,0,0,4,2,4,5,4,5
shoppingcart-app,com.strickers.shoppingcartapp.dto,ViewOrdersResponseDto,9,15,0,0,3,2,3,4,3,4
shoppingcart-app,com.strickers.shoppingcartapp.dto,LoginRequestDto,6,11,0,0,2,2,2,3,2,3
shoppingcart-app,com.strickers.shoppingcartapp.dto,BuyRequestDto,16,15,0,0,4,2,5,4,5,4
shoppingcart-app,com.strickers.shoppingcartapp.dto,TransactionRequestDto,38,0,0,0,7,0,11,0,11,0
shoppingcart-app,com.strickers.shoppingcartapp.dto,CustomerResponseDto,6,11,0,0,2,2,2,3,2,3
shoppingcart-app,com.strickers.shoppingcartapp.dto,LoginResponseDto,19,19,0,0,5,2,6,5,6,5
shoppingcart-app,com.strickers.shoppingcartapp.dto,ExceptionResponseDto,26,0,0,0,12,0,6,0,6,0
shoppingcart-app,com.strickers.shoppingcartapp,ShoppingcartAppApplication,8,0,0,0,3,0,2,0,2,0
shoppingcart-app,com.strickers.shoppingcartapp.exception,ProductNotPresentException,0,4,0,0,0,2,0,1,0,1
shoppingcart-app,com.strickers.shoppingcartapp.exception,CustomerNotFoundException,0,4,0,0,0,2,0,1,0,1
shoppingcart-app,com.strickers.shoppingcartapp.exception,ApiExceptionHandler,49,0,0,0,12,0,5,0,5,0
shoppingcart-app,com.strickers.shoppingcartapp.exception,OrderNotFoundException,0,4,0,0,0,2,0,1,0,1
shoppingcart-app,com.strickers.shoppingcartapp.entity,Product,16,15,0,0,4,2,5,4,5,4
shoppingcart-app,com.strickers.shoppingcartapp.entity,Myorder,23,15,0,0,5,2,7,4,7,4
shoppingcart-app,com.strickers.shoppingcartapp.entity,Customer,65,15,0,0,11,2,19,4,19,4
